time ax ay az
618672507580696 1.021436 5.047659 0.934397 
618672527604862 1.579562 4.415356 1.008575 
618672547643560 2.844169 3.902694 1.403989 
618672567667727 4.727021 4.159025 1.986043 
618672587674602 6.296114 4.247559 1.617249 
618672607698769 8.054540 4.571188 1.825425 
618672627730175 9.870094 5.866902 2.714358 
618672647754342 10.519446 6.487540 2.108376 
618672667807675 10.258329 6.650252 1.152443 
618672687831842 10.842776 7.040881 2.172982 
618672707837154 11.700305 7.357032 3.634099 
618672727861321 12.126825 7.426424 3.246163 
618672747877154 12.224931 7.783553 2.273481 
618672767901373 12.248859 7.941479 2.103590 
618672787949810 12.153146 7.649256 2.088934 
618672807974029 12.021242 7.563114 1.942972 
618672827967987 12.047862 7.622935 1.751247 
618672847992206 11.813066 7.447959 1.427917 
618672868043508 11.628520 7.368997 1.219442 
618672888067727 11.563913 7.337890 1.535594 
618672908092935 11.554342 7.510472 1.756033 
618672928117154 11.290833 7.471888 1.502094 
618672948143352 10.840384 7.299604 1.677070 
618672968167571 10.543375 7.258926 2.072184 
618672988189394 10.342078 7.416853 2.335694 
618673008213612 10.104890 7.421638 2.424528 
618673028239967 9.862916 7.486245 2.410171 
618673048264185 9.721740 7.840981 2.410171 
618673068288925 9.355338 7.838588 2.481955 
618673088313144 9.046066 7.639685 2.767000 
618673108333352 8.504690 7.692327 3.154937 
618673128357571 7.781459 7.577471 3.286841 
618673148352050 6.801599 7.184450 3.126223 
618673168376269 5.874679 6.837192 2.740679 
618673188430487 4.616951 6.233602 2.874677 
618673208454706 2.631208 5.431109 3.157330 
618673228482623 0.585344 5.002196 3.253341 
618673248506842 -0.399302 5.045267 3.701098 
618673268527935 -0.650848 5.136493 3.919144 
618673288552154 -1.901098 4.609474 3.217449 
618673308576790 -4.310969 3.584149 2.316551 
618673328601008 -5.707480 3.126522 2.546561 
618673348630383 -6.557829 2.901298 3.885645 
618673368654602 -7.650153 2.300101 4.820042 
618673388675019 -9.375079 1.377967 4.858327 
618673408699237 -11.394322 0.987338 4.403093 
618673428723040 -12.867702 0.975374 4.173083 
618673448747258 -12.915560 0.994517 4.379165 
618673468761581 -12.448360 0.965803 4.702495 
618673488785800 -11.959627 1.535893 5.097908 
618673508806633 -11.710474 2.017449 4.860720 
618673528830852 -11.322537 2.520540 4.592425 
618673548858612 -11.581262 2.779263 4.177868 
618673568882831 -11.710474 2.959024 3.799503 
618673588904342 -11.025529 3.416353 4.269094 
618673608928560 -10.769197 3.670291 4.252046 
618673628964394 -11.051849 3.790231 3.540779 
618673648988665 -11.399108 3.854837 2.893820 
618673669016060 -11.495120 3.960121 3.023331 
618673689040383 -11.408679 3.967300 3.679563 
618673709064446 -11.265110 4.125525 4.383950 
618673729088769 -10.532009 4.377071 4.927719 
618673749074862 -9.418150 4.841877 4.834399 
618673769099185 -8.110173 5.376074 4.525426 
618673789160071 -6.931708 5.821438 3.978965 
618673809184394 -5.417650 6.398707 3.672385 
618673829208769 -3.704987 6.875477 3.643671 
618673849233092 -2.435295 7.282855 2.838785 
618673869255540 -1.668695 7.237391 1.890330 
618673889279862 -1.192224 6.983453 1.456631 
618673909308821 -0.533300 6.353243 1.537987 
618673929333144 0.494417 5.723333 2.125126 
618673949357467 1.955534 5.661119 2.980261 
618673969381790 2.897110 5.368896 2.045863 
618673989402779 3.965505 5.030910 0.888934 
618674009427102 4.490132 4.417749 1.320240 
618674029453821 5.371588 4.008277 1.791925 
618674049478144 7.024430 3.850052 1.981257 
618674069499550 8.574381 4.678865 1.346561 
618674089523821 10.047462 5.787939 0.733101 
618674109549029 10.993824 6.113662 1.303490 
618674129573352 11.158929 5.972486 1.907080 
618674149595279 11.068001 6.065805 1.779961 
618674169619602 11.266905 6.197710 1.423131 
618674189644758 11.357832 6.152246 1.358525 
618674209669081 11.990135 6.454041 1.772782 
618674229691581 12.380763 6.743872 1.705783 
618674249715904 12.344872 6.746264 1.267299 
618674269743717 12.035898 6.676573 1.152443 
618674289768040 11.743376 6.635895 1.317847 
618674309789654 11.360225 6.434898 1.564607 
618674329813977 11.017752 6.317351 1.844866 
618674349840487 11.130215 6.477969 2.223231 
618674369864810 11.223834 6.774978 2.053042 
618674389886165 11.238191 7.110272 1.593321 
618674409910487 11.257333 7.261320 1.442274 
618674429937415 11.154142 7.205986 1.612463 
618674449961737 10.849956 7.290033 1.830509 
618674469981998 10.555339 7.459924 1.811068 
618674490006321 9.779167 7.407281 1.741676 
618674510031842 8.789735 7.024131 2.050649 
618674530056165 7.572985 6.420541 2.074577 
618674550081737 6.293722 6.413363 2.024328 
618674570106060 5.462515 6.767800 2.405385 
618674590126790 4.707879 6.865905 2.125126 
618674610151060 3.191726 6.401100 1.705783 
618674630168925 1.615454 5.802296 2.050649 
618674650193196 0.427119 5.785546 2.719144 
618674670215019 -0.904487 5.694619 2.776572 
618674690239290 -2.138286 5.603692 3.198307 
618674710250487 -2.909672 5.519644 3.766004 
618674730274758 -3.961318 5.081458 3.166901 
618674750307987 -5.201996 4.683651 2.608775 
618674770332258 -6.014060 4.786542 2.999403 
618674790371008 -6.059824 4.693223 3.669992 
618674810395279 -7.144969 4.151846 3.617350 
618674830419654 -8.673085 3.754339 3.298805 
618674850443925 -10.268499 3.591328 3.296412 
618674870466946 -11.772986 3.471687 3.710670 
618674890491217 -11.825628 3.610470 5.138587 
618674910513769 -11.384751 3.823730 5.981758 
618674930538040 -11.784950 3.981956 5.435596 
618674950563196 -11.928520 4.075276 4.944469 
618674970587467 -11.339288 4.245166 5.373383 
618674990613196 -11.149956 4.202096 5.366204 
618675010612883 -11.248360 4.192524 4.791029 
618675030637102 -11.202896 4.249952 4.601996 
618675050686685 -11.214861 4.290929 4.187439 
618675070710956 -11.468799 4.400999 3.754040 
618675090732831 -12.069996 4.264608 3.588636 
618675110757102 -12.580265 4.075276 3.751647 
618675130783560 -11.784950 4.240381 4.424628 
618675150807831 -10.144073 4.609474 5.284549 
618675170831425 -9.049356 4.856234 5.373383 
618675190855696 -8.349754 5.169992 4.546961 
618675210877154 -7.360322 5.289634 3.969394 
618675230901425 -5.650053 5.685048 3.993621 
618675250919654 -3.683451 6.056234 3.739683 
618675270943925 -2.466402 6.334101 2.848356 
618675290975227 -2.260320 6.422934 1.514058 
618675310999498 -2.152643 6.015556 0.742672 
618675331023925 -0.672383 5.859724 1.724926 
618675351048196 0.757927 5.610870 2.829214 
618675371074550 1.380659 4.851448 2.271088 
618675391098821 2.880360 4.398606 1.521237 
618675411130123 4.667201 4.434499 1.511666 
618675431154394 5.462515 4.082455 1.387239 
618675451169342 6.772884 3.967300 0.862613 
618675471193612 8.157432 4.405785 1.044766 
618675491219446 8.475976 4.513462 0.764507 
618675511243665 9.345767 4.882555 0.587139 
618675531265644 10.579268 5.361717 0.927219 
618675551289915 11.724233 6.051448 1.097408 
618675571316008 12.509975 6.698408 1.181157 
618675591340279 13.156936 7.361818 1.360918 
618675611363612 12.850355 7.459924 1.085444 
618675631387883 12.469298 7.158129 1.083051 
618675651413352 12.689736 7.227820 1.320240 
618675671437623 13.087244 7.649256 1.195514 
618675691463040 13.156936 7.812267 0.898505 
618675711487310 13.140185 7.764410 0.802792 
