time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1689224737864838100,6.646838134765625,0.2143646776676178,-0.769120454788208,0.4929180443286896,0.3457358479499817,-2.30375337600708,-0.011094588786363602,-1.134941816329956
1689224737869865700,6.65186572265625,0.21434740722179413,-0.7691290378570557,0.4928470253944397,0.3458288013935089,-2.303601026535034,-0.011159979738295078,-1.1347707509994507
1689224737874893300,6.656893310546875,0.21430832147598267,-0.7691335082054138,0.49277597665786743,0.34594425559043884,-2.3034322261810303,-0.011282862164080143,-1.1345785856246948
1689224737879921000,6.6619208984375,0.21424539387226105,-0.7691382765769958,0.49271127581596375,0.3460647761821747,-2.3032822608947754,-0.011451643891632557,-1.1343774795532227
1689224737884948500,6.666948486328125,0.21418073773384094,-0.7691442370414734,0.49265140295028687,0.34617671370506287,-2.303149938583374,-0.011617385782301426,-1.1341851949691772
1689224737889976000,6.67197607421875,0.21412838995456696,-0.7691470980644226,0.4925978183746338,0.3462790548801422,-2.303021192550659,-0.011760416440665722,-1.1340183019638062
1689224737895003400,6.67700341796875,0.21408173441886902,-0.7691497802734375,0.4925529956817627,0.3463655710220337,-2.302915096282959,-0.011885236948728561,-1.133876085281372
1689224737900031000,6.682031005859375,0.21400277316570282,-0.7691618800163269,0.492515504360199,0.3464408814907074,-2.3028676509857178,-0.01204975787550211,-1.1337190866470337
1689224737905058600,6.68705859375,0.21396851539611816,-0.7691613435745239,0.4924659729003906,0.3465336561203003,-2.3027353286743164,-0.012159766629338264,-1.1335783004760742
1689224737910086100,6.692086181640625,0.2139454185962677,-0.7691518664360046,0.49242570996284485,0.3466261625289917,-2.3025906085968018,-0.012262532487511635,-1.1334683895111084
1689224737915113700,6.69711376953125,0.21392028033733368,-0.7691419124603271,0.4923912584781647,0.3467126786708832,-2.302459239959717,-0.01236678846180439,-1.1333692073822021
1689224737920141300,6.702141357421875,0.2139047235250473,-0.7691277265548706,0.49234965443611145,0.34681278467178345,-2.3022916316986084,-0.01246651541441679,-1.133263349533081
1689224737925169000,6.7071689453125,0.2138807475566864,-0.7691141963005066,0.49231964349746704,0.34690022468566895,-2.3021576404571533,-0.012574497610330582,-1.1331748962402344
