r0,p0,y0,r1,p1,y1,r2,p2,y2,r3,p3,y3,r4,p4,y4,r5,p5,y5,r6,p6,y6,r7,p7,y7,r8,p8,y8,r9,p9,y9,r10,p10,y10,r11,p11,y11,r12,p12,y12,r13,p13,y13,r14,p14,y14,r15,p15,y15,r16,p16,y16,r17,p17,y17,r18,p18,y18,r19,p19,y19,target
-0.544099,0.009894,-1.167411,-0.544008,0.009856,-1.167472,-0.543916,0.009819,-1.167528,-0.543815,0.009783,-1.167596,-0.543693,0.009728,-1.167652,-0.543552,0.009658,-1.167695,-0.543419,0.009568,-1.167725,-0.543303,0.009468,-1.167753,-0.543215,0.009363,-1.167786,-0.543132,0.009264,-1.167816,-0.543079,0.009162,-1.167850,-0.543067,0.009071,-1.167882,-0.543089,0.008977,-1.167905,-0.543118,0.008898,-1.167912,-0.543159,0.008835,-1.167912,-0.543190,0.008791,-1.167895,-0.543205,0.008765,-1.167857,-0.543222,0.008759,-1.167814,-0.543241,0.008772,-1.167768,-0.543271,0.008800,-1.167707,0
-0.543464,0.009467,-1.166929,-0.543568,0.009626,-1.166746,-0.543675,0.009789,-1.166551,-0.543774,0.009981,-1.166706,-0.543841,0.010176,-1.166507,-0.543893,0.010354,-1.166664,-0.543918,0.010530,-1.166489,-0.543903,0.010686,-1.166627,-0.543862,0.010800,-1.166453,-0.543792,0.010897,-1.166508,-0.543679,0.010974,-1.166350,-0.543547,0.011045,-1.166482,-0.543421,0.011101,-1.166359,-0.543324,0.011159,-1.166503,-0.543251,0.011212,-1.166423,-0.543217,0.011273,-1.166724,-0.543233,0.011345,-1.166710,-0.543300,0.011423,-1.166845,-0.543410,0.011509,-1.166891,-0.543555,0.011612,-1.166995,0
-0.543923,0.012358,-1.167596,-0.543904,0.012502,-1.167700,-0.543891,0.012636,-1.167792,-0.543887,0.012801,-1.167906,-0.543864,0.012951,-1.168003,-0.543813,0.013096,-1.168124,-0.543780,0.013216,-1.168198,-0.543768,0.013300,-1.168291,-0.543835,0.013377,-1.168365,-0.543923,0.013446,-1.168400,-0.544025,0.013510,-1.168468,-0.544114,0.013565,-1.168400,-0.544199,0.013596,-1.168462,-0.544298,0.013608,-1.168449,-0.544382,0.013586,-1.168491,-0.544436,0.013547,-1.168743,-0.544460,0.013488,-1.168766,-0.544427,0.013414,-1.169206,-0.544343,0.013330,-1.169209,-0.544232,0.013252,-1.169422,0
-0.543848,0.012772,-1.170419,-0.543842,0.012727,-1.170425,-0.543822,0.012676,-1.170683,-0.543808,0.012646,-1.170673,-0.543799,0.012608,-1.171054,-0.543798,0.012597,-1.171035,-0.543811,0.012612,-1.171257,-0.543835,0.012624,-1.171233,-0.543869,0.012673,-1.171483,-0.543911,0.012742,-1.171480,-0.543977,0.012826,-1.171908,-0.544031,0.012912,-1.171911,-0.544056,0.013004,-1.172401,-0.544058,0.013094,-1.172415,-0.544028,0.013176,-1.172843,-0.543960,0.013228,-1.172833,-0.543860,0.013262,-1.173141,-0.543764,0.013273,-1.173114,-0.543658,0.013288,-1.173504,-0.543564,0.013283,-1.173485,0
-0.543044,0.013130,-1.174517,-0.542971,0.013078,-1.174912,-0.542912,0.013024,-1.174868,-0.542857,0.012962,-1.175184,-0.542810,0.012895,-1.175115,-0.542766,0.012823,-1.175331,-0.542759,0.012725,-1.175250,-0.542771,0.012622,-1.175496,-0.542794,0.012490,-1.175398,-0.542821,0.012350,-1.175642,-0.542834,0.012185,-1.175515,-0.542859,0.011996,-1.175774,-0.542897,0.011787,-1.175637,-0.542950,0.011567,-1.175879,-0.543006,0.011326,-1.175767,-0.543059,0.011086,-1.176061,-0.543082,0.010828,-1.175975,-0.543077,0.010570,-1.176253,-0.543081,0.010296,-1.176197,-0.543083,0.010015,-1.176461,0
-0.542682,0.008305,-1.177141,-0.542564,0.008042,-1.177113,-0.542451,0.007788,-1.177418,-0.542361,0.007529,-1.177368,-0.542320,0.007271,-1.177613,-0.542305,0.007041,-1.177585,-0.542309,0.006835,-1.177824,-0.542329,0.006635,-1.177801,-0.542349,0.006445,-1.177961,-0.542354,0.006276,-1.177953,-0.542346,0.006123,-1.177894,-0.542329,0.005969,-1.177881,-0.542317,0.005831,-1.177888,-0.542324,0.005714,-1.177874,-0.542318,0.005618,-1.178069,-0.542323,0.005544,-1.178063,-0.542350,0.005491,-1.178254,-0.542406,0.005465,-1.178262,-0.542479,0.005459,-1.178457,-0.542578,0.005461,-1.178468,0
-0.543047,0.005858,-1.179307,-0.543116,0.005950,-1.179500,-0.543179,0.006031,-1.179495,-0.543253,0.006117,-1.179771,-0.543339,0.006217,-1.179761,-0.543421,0.006347,-1.179963,-0.543500,0.006467,-1.179944,-0.543577,0.006605,-1.180204,-0.543648,0.006747,-1.180176,-0.543700,0.006893,-1.180369,-0.543731,0.007031,-1.180330,-0.543741,0.007168,-1.180386,-0.543717,0.007325,-1.180343,-0.543671,0.007465,-1.180350,-0.543593,0.007614,-1.180313,-0.543537,0.007758,-1.180548,-0.543496,0.007904,-1.180526,-0.543466,0.008045,-1.180701,-0.543438,0.008186,-1.180667,-0.543427,0.008324,-1.180857,0
-0.543434,0.008984,-1.181396,-0.543387,0.009071,-1.181386,-0.543326,0.009136,-1.181555,-0.543249,0.009198,-1.181554,-0.543176,0.009238,-1.181746,-0.543101,0.009264,-1.181756,-0.543028,0.009274,-1.181948,-0.542989,0.009296,-1.181963,-0.542948,0.009307,-1.182166,-0.542927,0.009313,-1.182174,-0.542940,0.009301,-1.182333,-0.542983,0.009274,-1.182338,-0.543033,0.009250,-1.182562,-0.543073,0.009226,-1.182563,-0.543100,0.009203,-1.182682,-0.543085,0.009179,-1.182654,-0.543066,0.009156,-1.182791,-0.543035,0.009136,-1.182738,-0.543003,0.009099,-1.182786,-0.542952,0.009077,-1.182703,0
-0.542616,0.008948,-1.182495,-0.542557,0.008919,-1.182501,-0.542502,0.008877,-1.182422,-0.542461,0.008831,-1.182316,-0.542425,0.008781,-1.182241,-0.542410,0.008735,-1.181820,-0.542412,0.008701,-1.181754,-0.542402,0.008684,-1.181517,-0.542405,0.008653,-1.181446,-0.542409,0.008627,-1.181171,-0.542413,0.008577,-1.181088,-0.542415,0.008531,-1.180565,-0.542422,0.008491,-1.180473,-0.542423,0.008470,-1.180070,-0.542423,0.008461,-1.179989,-0.542413,0.008453,-1.179632,-0.542396,0.008458,-1.179549,-0.542396,0.008459,-1.179249,-0.542380,0.008467,-1.179157,-0.542357,0.008490,-1.178834,0
-0.542108,0.008781,-1.177908,-0.541994,0.008774,-1.177873,-0.541844,0.008720,-1.177730,-0.541650,0.008620,-1.177706,-0.541418,0.008490,-1.177590,-0.541189,0.008331,-1.177580,-0.540955,0.008142,-1.177401,-0.540738,0.007942,-1.177416,-0.540546,0.007740,-1.177342,-0.540383,0.007537,-1.177383,-0.540251,0.007340,-1.177378,-0.540146,0.007148,-1.177360,-0.540068,0.006982,-1.177401,-0.540028,0.006854,-1.177411,-0.539995,0.006741,-1.177465,-0.539977,0.006639,-1.177459,-0.539957,0.006546,-1.177511,-0.539928,0.006472,-1.177542,-0.539887,0.006415,-1.177591,-0.539805,0.006379,-1.177582,0
