time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1689224616314798600,0.078798583984375,0.423128217458725,-0.5414543151855469,0.37150776386260986,0.6243169903755188,-1.4327375888824463,-0.005668074358254671,-1.1962021589279175
1689224616319838500,0.08383837890625,0.4232345521450043,-0.5412226915359497,0.3713681101799011,0.6245288252830505,-1.4320216178894043,-0.005731941666454077,-1.1961724758148193
1689224616324882200,0.088882080078125,0.4242557883262634,-0.5406328439712524,0.37203118205070496,0.6239519119262695,-1.431728482246399,-0.005525944754481316,-1.199090600013733
1689224616329929000,0.093928955078125,0.4244813621044159,-0.5406355261802673,0.37202751636505127,0.6237983107566833,-1.4317291975021362,-0.005160890985280275,-1.1994965076446533
1689224616334978000,0.09897802734375,0.42545226216316223,-0.5402329564094543,0.37277671694755554,0.6230378746986389,-1.4319775104522705,-0.004821378737688065,-1.2024641036987305
1689224616340028200,0.104028076171875,0.4255852997303009,-0.5403136014938354,0.37288758158683777,0.6228107810020447,-1.4323205947875977,-0.004577801562845707,-1.202884554862976
1689224616345078500,0.10907861328125,0.4257698059082031,-0.5402662754058838,0.37322762608528137,0.6225219368934631,-1.4327296018600464,-0.004626648034900427,-1.203764796257019
1689224616350112500,0.114112548828125,0.4257314205169678,-0.5403302311897278,0.37340790033340454,0.6223845481872559,-1.4331408739089966,-0.00473551731556654,-1.203982949256897
1689224616355140000,0.11914013671875,0.4255753755569458,-0.5403874516487122,0.37361854314804077,0.6223151683807373,-1.43358314037323,-0.005065790843218565,-1.2040348052978516
1689224616360167400,0.12416748046875,0.4253540337085724,-0.5404622554779053,0.37390172481536865,0.6222314834594727,-1.434173583984375,-0.00553127983585,-1.2040839195251465
1689224616365195000,0.129195068359375,0.4254777431488037,-0.5403431057929993,0.3744450807571411,0.621923565864563,-1.4347341060638428,-0.005944555159658194,-1.2051794528961182
1689224616370222300,0.134222412109375,0.425273060798645,-0.5404273271560669,0.374719500541687,0.6218250393867493,-1.4353324174880981,-0.006361616775393486,-1.205245852470398
1689224616375250000,0.13925,0.42537349462509155,-0.5403293371200562,0.3751855194568634,0.6215605139732361,-1.4358237981796265,-0.006717493757605553,-1.2061761617660522
1689224616380277200,0.14427734375,0.4252420663833618,-0.5404178500175476,0.3754188120365143,0.6214325428009033,-1.4363701343536377,-0.006978181190788746,-1.2063109874725342
1689224616385304800,0.149304931640625,0.425357848405838,-0.5404156446456909,0.37579572200775146,0.6211273670196533,-1.436936616897583,-0.007093995809555054,-1.2071274518966675
1689224616390332200,0.154332275390625,0.4253179132938385,-0.5405161380767822,0.3759967088699341,0.6209456324577332,-1.4374606609344482,-0.007164688780903816,-1.2073779106140137
1689224616395359700,0.15935986328125,0.42524251341819763,-0.5406145453453064,0.3762289583683014,0.6207708716392517,-1.4380276203155518,-0.0073194559663534164,-1.2076140642166138
1689224616400387000,0.164386962890625,0.42513740062713623,-0.540686845779419,0.37643954157829285,0.6206521987915039,-1.4385050535202026,-0.007543724961578846,-1.2077614068984985
1689224616405414700,0.16941455078125,0.42502090334892273,-0.5407174825668335,0.37664586305618286,0.6205801963806152,-1.438884973526001,-0.007845541462302208,-1.207880973815918
1689224616410442000,0.17444189453125,0.4248570203781128,-0.5407434105873108,0.37684592604637146,0.6205483078956604,-1.439245343208313,-0.008225027471780777,-1.20790433883667
1689224616415469300,0.17946923828125,0.4248015284538269,-0.540686845779419,0.37712597846984863,0.6204654574394226,-1.4395475387573242,-0.00861822348088026,-1.2082539796829224
1689224616420497000,0.184496826171875,0.4246504306793213,-0.5406883358955383,0.37728971242904663,0.6204680800437927,-1.4397995471954346,-0.008985521271824837,-1.208242416381836
1689224616425524200,0.189524169921875,0.4245142638683319,-0.5406957268714905,0.37745845317840576,0.6204521656036377,-1.4400721788406372,-0.00932388100773096,-1.2082663774490356
1689224616430551800,0.1945517578125,0.42437973618507385,-0.5407137870788574,0.3776179552078247,0.6204314231872559,-1.4403541088104248,-0.009636282920837402,-1.2082785367965698
1689224616435579100,0.1995791015625,0.42434900999069214,-0.540647029876709,0.37783411145210266,0.6203789710998535,-1.440537452697754,-0.009954766370356083,-1.2085708379745483
1689224616440606700,0.204606689453125,0.424228310585022,-0.5406045317649841,0.37792110443115234,0.6204456090927124,-1.4405770301818848,-0.010279657319188118,-1.2084912061691284
1689224616445634000,0.209634033203125,0.42412829399108887,-0.5405227541923523,0.37798458337783813,0.6205465197563171,-1.4404950141906738,-0.010612240061163902,-1.2084109783172607
1689224616450661600,0.21466162109375,0.42404210567474365,-0.5404269695281982,0.37800121307373047,0.620678722858429,-1.440311074256897,-0.010907240211963654,-1.208280324935913
1689224616455689000,0.21968896484375,0.42383888363838196,-0.5403733253479004,0.3778555393218994,0.620952844619751,-1.4399715662002563,-0.011198724620044231,-1.2076748609542847
1689224616460716500,0.224716552734375,0.4238760471343994,-0.5401772260665894,0.3778783977031708,0.6210842132568359,-1.439578652381897,-0.011452478356659412,-1.2077782154083252
1689224616465744000,0.229743896484375,0.4238217771053314,-0.5400356650352478,0.3778334856033325,0.6212716698646545,-1.4392011165618896,-0.011717021465301514,-1.2076059579849243
1689224616470771500,0.234771484375,0.4237735867500305,-0.5399190187454224,0.37777459621429443,0.621441662311554,-1.4388569593429565,-0.011923178099095821,-1.2074224948883057
1689224616475798800,0.239798828125,0.42377331852912903,-0.539803683757782,0.37772098183631897,0.6215746402740479,-1.4385236501693726,-0.012055063620209694,-1.2073346376419067
