time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1689224823502187300,0.084187255859375,0.12622064352035522,-0.3389355540275574,0.5253839492797852,0.7701705694198608,-1.2491093873977661,-0.8091620802879333,-0.9236366748809814
1689224823507227100,0.08922705078125,0.12633223831653595,-0.33901241421699524,0.5256588459014893,0.769930899143219,-1.2501122951507568,-0.809272825717926,-0.9247006177902222
1689224823512270800,0.094270751953125,0.12469830363988876,-0.3401395082473755,0.5251734852790833,0.7700313329696655,-1.250799298286438,-0.8095408082008362,-0.9211423397064209
1689224823517317600,0.099317626953125,0.12465812265872955,-0.34014174342155457,0.5253829956054688,0.7698939442634583,-1.2513729333877563,-0.809838056564331,-0.9216702580451965
1689224823522366700,0.10436669921875,0.12224864214658737,-0.34161052107810974,0.5245500206947327,0.7701979279518127,-1.2516008615493774,-0.810296893119812,-0.9159395098686218
1689224823527417000,0.1094169921875,0.1220654547214508,-0.3414982855319977,0.524684727191925,0.7701849937438965,-1.2516237497329712,-0.8107996582984924,-0.9158869385719299
1689224823532467700,0.1144677734375,0.1215745285153389,-0.3415364623069763,0.5246670246124268,0.7702577114105225,-1.2514572143554688,-0.8113442063331604,-0.9149399995803833
1689224823537502700,0.119502685546875,0.12133508920669556,-0.3413761556148529,0.5247900485992432,0.7702827453613281,-1.2513054609298706,-0.8119519352912903,-0.9147072434425354
1689224823542530600,0.124530517578125,0.1216520145535469,-0.3407585024833679,0.5251792669296265,0.7702409625053406,-1.2510180473327637,-0.812663733959198,-0.9159109592437744
1689224823547558100,0.12955810546875,0.12130618840456009,-0.3405574560165405,0.5252418518066406,0.7703417539596558,-1.2505515813827515,-0.813372015953064,-0.9152687788009644
1689224823552585700,0.134585693359375,0.12136740982532501,-0.34010058641433716,0.5254484415054321,0.7703930735588074,-1.2500377893447876,-0.814014732837677,-0.9155978560447693
1689224823557613300,0.13961328125,0.12101171910762787,-0.33993858098983765,0.525445818901062,0.7705222964286804,-1.2494789361953735,-0.8146162033081055,-0.9147804975509644
1689224823562641000,0.144640869140625,0.12023668736219406,-0.34020867943763733,0.5251813530921936,0.7707046866416931,-1.2490630149841309,-0.814974844455719,-0.9127756953239441
1689224823567668500,0.14966845703125,0.12008574604988098,-0.3401647210121155,0.5251193046569824,0.7707898616790771,-1.2487154006958008,-0.8151309490203857,-0.9122735261917114
1689224823572696000,0.154696044921875,0.11916038393974304,-0.34068816900253296,0.5247929692268372,0.7709245681762695,-1.2486839294433594,-0.8153396248817444,-0.9100199937820435
1689224823577723600,0.1597236328125,0.1190185546875,-0.34073492884635925,0.5248432755470276,0.7708916068077087,-1.2488778829574585,-0.815527081489563,-0.9099355340003967
1689224823582751200,0.164751220703125,0.11853371560573578,-0.341094046831131,0.5247149467468262,0.7708948254585266,-1.2491904497146606,-0.8156011700630188,-0.9089504480361938
1689224823587778800,0.16977880859375,0.11852610111236572,-0.3412148952484131,0.5247223973274231,0.7708374857902527,-1.2495052814483643,-0.8154958486557007,-0.9090598225593567
1689224823592806400,0.174806396484375,0.11916811764240265,-0.3409403860569,0.5249767899513245,0.770686686038971,-1.2498221397399902,-0.8152934908866882,-0.9107776284217834
1689224823597834200,0.179834228515625,0.11919447779655457,-0.341061532497406,0.524929940700531,0.770660936832428,-1.25,-0.8150803446769714,-0.910794734954834
1689224823602861800,0.18486181640625,0.12019367516040802,-0.34055283665657043,0.5252949595451355,0.7704819440841675,-1.2502074241638184,-0.8148110508918762,-0.9133115410804749
1689224823607889400,0.189889404296875,0.12026391923427582,-0.34067296981811523,0.5253118872642517,0.7704063653945923,-1.2505801916122437,-0.8146213889122009,-0.9135944247245789
1689224823612917000,0.1949169921875,0.1208835244178772,-0.3404221534729004,0.5255427360534668,0.7702627778053284,-1.2508807182312012,-0.8143930435180664,-0.9152230620384216
1689224823617944600,0.199944580078125,0.1216987669467926,-0.34003815054893494,0.5258740782737732,0.7700778841972351,-1.2512224912643433,-0.8141809105873108,-0.9174014329910278
1689224823622972200,0.20497216796875,0.12176884710788727,-0.3400993347167969,0.5258693695068359,0.7700430154800415,-1.2513892650604248,-0.8140257596969604,-0.9175715446472168
1689224823627999700,0.209999755859375,0.12241470813751221,-0.33967506885528564,0.5261222124099731,0.7699550986289978,-1.2513401508331299,-0.8139696717262268,-0.9191701412200928
1689224823633027300,0.21502734375,0.12235100567340851,-0.3396526873111725,0.5260624885559082,0.7700158953666687,-1.2510900497436523,-0.8139998912811279,-0.9188582897186279
1689224823638055000,0.220054931640625,0.12269745022058487,-0.339356929063797,0.526155412197113,0.770027756690979,-1.2507776021957397,-0.8139893412590027,-0.9195361137390137
1689224823643082500,0.22508251953125,0.12266098707914352,-0.33933740854263306,0.5260510444641113,0.7701134085655212,-1.2504209280014038,-0.813929557800293,-0.9191493391990662
1689224823648110000,0.230110107421875,0.12312053143978119,-0.3389780521392822,0.5261616706848145,0.7701228260993958,-1.2500522136688232,-0.8138667941093445,-0.9200398921966553
1689224823653137700,0.2351376953125,0.12309031933546066,-0.3389722406864166,0.5260876417160034,0.7701807618141174,-1.2498170137405396,-0.8138213753700256,-0.91976398229599
1689224823658165500,0.24016552734375,0.12347645312547684,-0.3387087881565094,0.5262036919593811,0.7701556086540222,-1.249666690826416,-0.8137567639350891,-0.9206116199493408
1689224823663193000,0.245193115234375,0.12348318099975586,-0.33871060609817505,0.5261768102645874,0.7701720595359802,-1.2495983839035034,-0.8137143850326538,-0.9205482006072998
