time ax ay az
2254795676898 -17.158033 -9.940682 -10.384252
2254815691846 -15.169599 -26.193930 -0.785444
2254835713148 -4.318148 -49.971409 22.345375
2254855733669 13.140185 -56.259747 66.180092
2254875754971 39.741795 -38.858841 78.914391
2254895744971 46.288555 -32.829525 49.215279
2254915766273 7.098608 -25.386652 -8.038987
2254935818513 -22.859234 -13.701602 -6.424430
2254955839815 -1.745564 -6.740282 18.567705
2254975861898 8.845069 -1.019941 13.129717
2254995883253 7.034001 3.323032 -2.680260
2255015904919 4.365406 6.729515 -9.392427
2255035926325 0.875175 7.982157 -8.355139
2255055932836 1.007079 6.485147 -5.531010
2255075954294 0.226122 5.038088 -3.681657
2255095974294 -2.006681 2.755335 -3.327220
2255115995753 -3.096611 2.053341 -2.318645
2255136018096 -2.643770 2.314458 -0.816551
2255156039555 -1.872384 1.995913 -0.318245
2255176059971 0.487238 1.217349 0.579960
2255196081378 3.201298 -1.137189 4.340879
2255216117263 5.587241 -2.749353 8.482556
2255236138721 8.921639 -1.453640 12.399308
2255256125336 10.732707 0.041276 13.671093
2255276146794 12.498012 1.442573 14.021044
2255296193513 13.693525 2.525325 12.653246
2255316214919 12.622738 2.882155 8.293224
2255336222263 11.305190 3.368496 5.335097
2255356243721 10.579268 3.881158 5.105087
2255376289398 9.901500 4.099204 6.147161
2255396310857 9.087043 3.989135 6.738787
2255416330544 8.538488 4.001099 6.216553
2255436352003 8.159824 3.996313 5.466702
2255456342523 8.440084 4.063312 5.145765
2255476363982 8.579166 4.010670 5.327620
2255496381950 8.303693 3.505186 5.751748
2255516403409 7.987541 3.258426 6.039185
2255536460596 8.111968 3.217748 6.099006
2255556482055 8.703593 3.330211 5.893223
2255576502523 9.010174 3.399603 5.488238
2255596523982 9.161221 3.325425 5.196014
2255616545232 9.311969 3.318247 4.877470
2255636566690 9.266505 3.318247 4.438985
2255656583721 9.106186 3.325425 4.005585
2255676605180 8.883354 3.205784 3.761218
2255696630440 8.753842 3.296711 3.696313
2255716651898 8.741879 3.401996 3.488137
2255736671378 8.631808 3.390032 3.262913
2255756692836 8.428120 3.509972 2.812464
2255776714503 8.650951 3.646363 2.108376
2255796735909 8.516654 3.701397 1.224228
2255816756742 8.332407 3.967300 0.275773
2255836778200 8.308478 3.938586 -0.282353
2255856802263 6.046962 3.433102 -2.184348
2255876823721 2.439483 2.118246 -3.832405
2255896833878 -2.806482 -1.297807 -2.833700
2255916855284 -10.577473 -6.637391 1.971686
2255936888305 -15.246468 -17.187046 14.871393
