time,seconds_elapsed,z,y,x
1687149075389427500,0.120427490234375,0.13404440879821777,-0.15801501274108887,0.19873905181884766
1687149075399346400,0.130346435546875,0.16327595710754395,-0.12810301780700684,-0.037764549255371094
1687149075409306000,0.14030615234375,0.11362361907958984,-0.10312867164611816,-0.2443370819091797
1687149075419309000,0.15030908203125,0.046196699142456055,-0.08089017868041992,-0.3433361053466797
1687149075429355000,0.16035498046875,-0.0127716064453125,-0.06523561477661133,-0.36156368255615234
1687149075439443200,0.170443115234375,-0.10872387886047363,-0.06477952003479004,-0.4557943344116211
1687149075449570300,0.1805703125,-0.17662453651428223,-0.05076289176940918,-0.572962760925293
1687149075459732000,0.19073193359375,-0.1601858139038086,-0.04573512077331543,-0.6003570556640625
1687149075469922600,0.200922607421875,-0.03220176696777344,-0.04460501670837402,-0.5162277221679688
1687149075480122600,0.21112255859375,0.15639853477478027,-0.025597572326660156,-0.3842744827270508
1687149075490322400,0.221322509765625,0.34890222549438477,0.022687196731567383,-0.2236785888671875
1687149075500522500,0.2315224609375,0.3629765510559082,0.0782771110534668,0.011716842651367188
1687149075510722600,0.24172265625,0.2068164348602295,0.10675311088562012,0.201812744140625
1687149075520890400,0.251890380859375,-0.046569108963012695,0.08607864379882812,0.3184928894042969
1687149075530945000,0.261945068359375,-0.3147401809692383,-0.04398012161254883,0.2971782684326172
1687149075541000000,0.272,-0.5428140163421631,-0.13973283767700195,0.16584300994873047
1687149075551054600,0.2820546875,-0.7801518440246582,-0.0710291862487793,0.013761520385742188
1687149075561109500,0.292109619140625,-0.7877099514007568,0.07142329216003418,-0.06751728057861328
1687149075571164200,0.3021640625,-0.5061337947845459,0.1818547248840332,-0.04892730712890625
1687149075581219000,0.312218994140625,-0.07724905014038086,0.3174266815185547,0.1500406265258789
1687149075591273700,0.322273681640625,0.3898770809173584,0.40487003326416016,0.47510623931884766
1687149075601328600,0.33232861328125,0.6768014430999756,0.4338247776031494,0.7900714874267578
1687149075611383600,0.342383544921875,0.8287644386291504,0.42258334159851074,1.0269298553466797
1687149075621438200,0.352438232421875,0.9500596523284912,0.43618130683898926,1.270345687866211
1687149075631493000,0.3624931640625,1.2151603698730469,0.47996044158935547,1.6245965957641602
1687149075641547800,0.3725478515625,1.7416799068450928,0.5876996517181396,2.2093544006347656
1687149075651602700,0.382602783203125,2.3638272285461426,0.7165720462799072,2.553317070007324
1687149075661657300,0.3926572265625,2.8555095195770264,0.7266981601715088,2.48873233795166
1687149075671712300,0.402712158203125,3.1181588172912598,0.636460542678833,2.1449718475341797
1687149075681767000,0.412766845703125,2.992804765701294,0.5387735366821289,1.6837148666381836
1687149075691821800,0.42282177734375,2.3997323513031006,0.5645382404327393,1.5142316818237305
1687149075701876500,0.43287646484375,1.5402846336364746,0.6540751457214355,1.6906652450561523
1687149075711931400,0.442931396484375,0.8012921810150146,0.8190479278564453,2.27773380279541
1687149075721986000,0.452986083984375,0.4107687473297119,0.9755129814147949,2.865403175354004
1687149075732041000,0.463041015625,0.34767651557922363,0.9755606651306152,3.0709362030029297
1687149075742095600,0.473095703125,0.4503507614135742,0.7783551216125488,3.2605409622192383
1687149075752150500,0.483150634765625,0.9439544677734375,0.566533088684082,3.9267425537109375
1687149075762205200,0.493205078125,1.941354751586914,0.44919586181640625,5.361278533935547
1687149075772260000,0.503260009765625,3.3011984825134277,0.3389468193054199,6.795330047607422
1687149075782315000,0.51331494140625,4.776630401611328,0.15958309173583984,7.529117584228516
1687149075792369700,0.52336962890625,5.699585914611816,-0.14940929412841797,6.843984603881836
1687149075802424600,0.533424560546875,5.326946258544922,-0.8496713638305664,4.686298370361328
1687149075812479200,0.543479248046875,3.694902181625366,-1.6587491035461426,2.088167190551758
1687149075822534100,0.5535341796875,1.5051698684692383,-2.320962905883789,-0.6042604446411133
1687149075832588800,0.5635888671875,-0.8605091571807861,-2.835690498352051,-3.438033103942871
1687149075842643700,0.573643798828125,-3.3708126544952393,-3.1223745346069336,-5.716623783111572
1687149075852698400,0.583698486328125,-5.487923622131348,-3.2691397666931152,-6.799224376678467
1687149075862753300,0.593753173828125,-6.603404998779297,-3.4045310020446777,-6.728677749633789
1687149075872808000,0.603807861328125,-6.520833492279053,-3.6574368476867676,-6.236250877380371
1687149075882862800,0.61386279296875,-5.5323381423950195,-3.8913497924804688,-5.630401611328125
1687149075892917500,0.62391748046875,-4.055440425872803,-3.8885622024536133,-4.485986709594727
1687149075902972400,0.633972412109375,-2.8574721813201904,-3.7039027214050293,-3.0081613063812256
1687149075913027000,0.644027099609375,-2.1983296871185303,-3.5203804969787598,-1.5409855842590332
1687149075923082000,0.65408203125,-1.856005311012268,-3.3265981674194336,-0.052842140197753906
1687149075933137000,0.664136962890625,-1.5261280536651611,-2.9728283882141113,1.6139426231384277
1687149075943191600,0.674191650390625,-0.6084051132202148,-2.4540328979492188,3.563732147216797
1687149075953246500,0.68424658203125,0.7489774227142334,-2.058929920196533,5.071079254150391
1687149075963301000,0.694301025390625,2.3535022735595703,-1.794236183166504,6.31467866897583
1687149075973356000,0.70435595703125,3.7306971549987793,-1.6749238967895508,7.073233604431152
1687149075983410700,0.71441064453125,4.2245049476623535,-1.8698644638061523,7.021635055541992
1687149075993465600,0.724465576171875,3.6291706562042236,-2.561249256134033,5.773844242095947
1687149076003520300,0.734520263671875,2.508023500442505,-3.4034385681152344,3.314086437225342
1687149076013575200,0.7445751953125,1.1309750080108643,-4.101975917816162,0.5387356281280518
1687149076023630000,0.754630126953125,-0.24953818321228027,-4.613574028015137,-1.3877626657485962
