time,seconds_elapsed,z,y,x
1687149075389427500,0.120427490234375,-0.1502021700143814,-0.016245270147919655,-0.1597895473241806
1687149075399346400,0.130346435546875,-0.1736379712820053,-0.029028434306383133,-0.13315795361995697
1687149075409306000,0.14030615234375,-0.17683376371860504,-0.027963170781731606,-0.10759162902832031
1687149075419309000,0.15030908203125,-0.1693769246339798,-0.013049479573965073,-0.0894821435213089
1687149075429355000,0.16035498046875,-0.1651158630847931,0.00612526573240757,-0.07882951200008392
1687149075439443200,0.170443115234375,-0.16724638640880585,0.019973693415522575,-0.07243792712688446
1687149075449570300,0.1805703125,-0.16192007064819336,0.021038956940174103,-0.07350318878889084
1687149075459732000,0.19073193359375,-0.15126743912696838,0.018908429890871048,-0.07776424288749695
1687149075469922600,0.200922607421875,-0.13954953849315643,0.013582111336290836,-0.07776424288749695
1687149075480122600,0.21112255859375,-0.13528847694396973,0.01784316636621952,-0.061785291880369186
1687149075490322400,0.221322509765625,-0.1406148076057434,0.030626330524683,-0.025566328316926956
1687149075500522500,0.2315224609375,-0.17150744795799255,0.05938844755291939,0.02024000883102417
1687149075510722600,0.24172265625,-0.23222747445106506,0.08815056830644608,0.054328445345163345
1687149075520890400,0.251890380859375,-0.30786117911338806,0.13715268671512604,0.06072002649307251
1687149075530945000,0.261945068359375,-0.377103328704834,0.21278640627861023,0.03195790946483612
1687149075541000000,0.272,-0.4271707236766815,0.2788327634334564,-0.017044218257069588
1687149075551054600,0.2820546875,-0.4516717791557312,0.29694223403930664,-0.09480846673250198
1687149075561109500,0.292109619140625,-0.45486757159233093,0.30546435713768005,-0.20559588074684143
1687149075571164200,0.3021640625,-0.42930126190185547,0.32890015840530396,-0.3153180480003357
1687149075581219000,0.312218994140625,-0.3941475450992584,0.3928159773349762,-0.40266966819763184
1687149075591273700,0.322273681640625,-0.38882121443748474,0.5036033987998962,-0.4601939022541046
1687149075601328600,0.33232861328125,-0.40799596905708313,0.6314350366592407,-0.48789075016975403
1687149075611383600,0.342383544921875,-0.44528019428253174,0.7464835047721863,-0.4932170510292053
1687149075621438200,0.352438232421875,-0.4889560043811798,0.7890940308570862,-0.4793686270713806
1687149075631493000,0.3624931640625,-0.5550023317337036,0.7219824194908142,-0.43036651611328125
1687149075641547800,0.3725478515625,-0.6764423847198486,0.513190746307373,-0.320644348859787
1687149075651602700,0.382602783203125,-0.8607330322265625,0.23835274577140808,-0.13848426938056946
1687149075661657300,0.3926572265625,-1.0663288831710815,-0.001331579522229731,0.10013478249311447
1687149075671712300,0.402712158203125,-1.2442278861999512,-0.16964323818683624,0.3632549047470093
1687149075681767000,0.412766845703125,-1.3528847694396973,-0.25806012749671936,0.6167876720428467
1687149075691821800,0.42282177734375,-1.3827122449874878,-0.2516685426235199,0.8096003532409668
1687149075701876500,0.43287646484375,-1.3677985668182373,-0.1771000772714615,0.8820382952690125
1687149075711931400,0.442931396484375,-1.3656679391860962,-0.03755054250359535,0.8245140314102173
1687149075721986000,0.452986083984375,-1.428518533706665,0.18402428925037384,0.6817687153816223
1687149075732041000,0.463041015625,-1.5393059253692627,0.47058022022247314,0.50706547498703
1687149075742095600,0.473095703125,-1.667137622833252,0.7613971829414368,0.3568633198738098
1687149075752150500,0.483150634765625,-1.818405032157898,0.8839024901390076,0.26951169967651367
1687149075762205200,0.493205078125,-2.0570240020751953,0.6719150543212891,0.31212225556373596
1687149075772260000,0.503260009765625,-2.4383885860443115,0.14247901737689972,0.5155876278877258
1687149075782315000,0.51331494140625,-2.9092350006103516,-0.5190497040748596,0.8799077868461609
1687149075792369700,0.52336962890625,-3.3917994499206543,-1.0090709924697876,1.366733193397522
1687149075802424600,0.533424560546875,-3.7518584728240967,-1.1379679441452026,1.8780597448349
1687149075812479200,0.543479248046875,-3.9254965782165527,-0.9185235500335693,2.2690114974975586
1687149075822534100,0.5535341796875,-3.9169743061065674,-0.58403080701828,2.465020179748535
1687149075832588800,0.5635888671875,-3.7092480659484863,-0.29640960693359375,2.4788684844970703
1687149075842643700,0.573643798828125,-3.318296194076538,-0.14940322935581207,2.2999041080474854
1687149075852698400,0.583698486328125,-2.848515033721924,-0.13235901296138763,1.9078872203826904
1687149075862753300,0.593753173828125,-2.4149527549743652,-0.15046848356723785,1.3550153970718384
1687149075872808000,0.603807861328125,-2.053828239440918,-0.1430116444826126,0.7776424288749695
1687149075882862800,0.61386279296875,-1.7502281665802002,-0.07696529477834702,0.2822948694229126
1687149075892917500,0.62391748046875,-1.532914400100708,0.0636495053768158,-0.0703074038028717
1687149075902972400,0.633972412109375,-1.4370406866073608,0.23196116089820862,-0.2631201148033142
1687149075913027000,0.644027099609375,-1.461541771888733,0.3502054214477539,-0.34940648078918457
1687149075923082000,0.65408203125,-1.5883080959320068,0.3842938542366028,-0.37816858291625977
1687149075933137000,0.664136962890625,-1.813078761100769,0.3139864504337311,-0.39840859174728394
1687149075943191600,0.674191650390625,-2.1507673263549805,0.10945583879947662,-0.3813643753528595
1687149075953246500,0.68424658203125,-2.6120264530181885,-0.23462431132793427,-0.26418536901474
1687149075963301000,0.694301025390625,-3.130809783935547,-0.6117276549339294,-0.026631591841578484
1687149075973356000,0.70435595703125,-3.706052303314209,-0.8918919563293457,0.33129698038101196
1687149075983410700,0.71441064453125,-4.275968074798584,-0.990961492061615,0.7456845641136169
1687149075993465600,0.724465576171875,-4.758532524108887,-0.9355677962303162,1.1132005453109741
1687149076003520300,0.734520263671875,-5.058937072753906,-0.7832350730895996,1.3709943294525146
