time gx gy gz
2124175825433 2.996101 2.493711 19.133316
2124195826527 1.313033 5.347470 25.999941
2124215847568 -3.426322 6.509639 23.084265
2124235887516 -3.960004 -1.015300 7.364222
2124255908558 1.633668 -5.211386 -3.783708
2124275933297 4.068924 -1.704506 -2.648169
2124295954391 1.082942 1.933265 0.074566
2124315974547 -0.562842 1.585999 0.077762
2124335995589 0.411846 -0.044873 -0.281222
2124355995277 0.578022 -0.435813 -0.099067
2124376016318 -0.283751 0.074433 0.124765
2124396053193 -0.578821 0.334350 -0.026631
2124416074287 0.078428 0.047802 -0.316374
2124436108922 0.756981 -0.274963 -0.512377
2124456130016 0.841135 -0.298398 -0.551791
2124476104235 0.575892 -0.042742 -0.429289
2124496125277 0.384150 0.130891 -0.295070
2124516183141 0.347932 0.121303 -0.284417
2124536204287 0.323431 0.011584 -0.316374
2124556198506 0.157255 0.000932 -0.323831
2124576219600 -0.149532 0.215044 -0.287613
2124596264756 -0.362579 0.349263 -0.151263
2124616285797 -0.361513 0.319437 -0.062849
2124636255433 -0.176163 0.300263 -0.111849
2124656276475 0.051797 0.198000 -0.239677
2124676303922 0.154059 0.207587 -0.301461
2124696324964 0.123168 0.347133 -0.248199
2124716367725 0.035818 0.413177 -0.185351
2124736388766 -0.039813 0.315176 -0.247134
2124756433975 -0.130358 0.301328 -0.381353
2124776455016 -0.182554 0.531418 -0.481485
2124796481110 -0.150597 0.649659 -0.717967
2124816502256 -0.114379 0.576158 -1.091864
2124836518402 -0.213446 0.628354 -1.458304
2124856539495 -0.506385 0.914902 -1.871614
2124876559860 -0.847393 1.180145 -2.468145
2124896580954 -0.953916 1.204645 -3.211678
2124916600381 -0.724891 1.209972 -3.849752
2124936621422 -0.376427 1.104514 -4.419652
2124956622360 0.052862 0.824357 -4.943880
2124976643506 0.409715 0.350329 -5.544671
2124996663975 0.637675 -0.257920 -6.099658
2125016685068 0.711176 -0.832080 -6.489533
2125036705329 0.823026 -1.376414 -6.702579
2125056726422 0.876287 -1.809964 -6.708971
2125076718350 0.984941 -2.040054 -6.573686
2125096739443 1.352446 -2.107164 -6.701514
2125116769027 1.391860 -2.110360 -6.233877
2125136790068 1.121291 -0.710644 -1.799179
2125156818922 1.935129 1.074687 7.851034
2125176840016 3.416868 2.405296 17.957165
2125196891266 2.337787 6.201787 24.426592
2125216912412 -6.573153 12.935390 24.685444
2125236930850 -16.682482 9.563795 15.028840
2125256951995 -9.084973 -4.766119 2.562019
2125276959756 4.800739 -4.939752 -3.650553
2125296980850 6.118432 -1.356175 -4.839487
2125317020381 1.774279 0.912772 -4.497414
2125337041475 0.972158 1.361235 -4.803269
2125357058610 2.649900 -0.175897 -7.174478
2125377079704 3.808874 -2.584522 -10.194547
2125397082412 3.462673 -4.301677 -12.037399
2125417103454 2.054435 -4.428440 -12.120487
2125437126631 0.337279 -3.586906 -11.414238
2125457147725 -0.988004 -3.031919 -10.977492
2125477176683 -0.716369 -1.840856 -8.763805
2125497197777 1.562297 0.281088 0.045805
2125517240954 4.258535 2.085726 12.856697
2125537261995 5.187418 4.476109 22.579346
2125557244704 0.503456 8.578455 25.930700
2125577265797 -6.042667 5.959979 18.401367
2125597313714 -1.839125 -4.817250 4.165195
2125617334860 5.377030 -6.089139 -2.765345
2125637332881 2.623270 0.378025 -1.775743
