time,seconds_elapsed,z,y,x
1687353384054697500,0.125697509765625,1.204432487487793,-0.48729443550109863,-2.2230658531188965
1687353384074760200,0.14576025390625,0.734494686126709,-0.5901525020599365,-1.4686321020126343
1687353384094841900,0.165841796875,1.4065790176391602,-0.44682776927948,-0.13465666770935059
1687353384114943700,0.18594384765625,1.544428825378418,-0.04016232490539551,0.762014627456665
1687353384135064800,0.20606494140625,0.43549489974975586,0.07215702533721924,1.5988197326660156
1687353384155204400,0.226204345703125,1.4327850341796875,0.17676591873168945,1.7400848865509033
1687353384175360500,0.246360595703125,1.5136194229125977,-0.19608664512634277,1.0300860404968262
1687353384195531000,0.266531005859375,1.888413429260254,-0.5204495191574097,0.3472466468811035
1687353384215712500,0.28671240234375,0.5777750015258789,-0.3995429277420044,0.08061790466308594
1687353384235902200,0.306902099609375,-0.33193254470825195,0.8379740715026855,-0.19748735427856445
1687353384256096500,0.327096435546875,-0.7608251571655273,0.8967270851135254,-0.27110934257507324
1687353384276292000,0.3472919921875,-1.690643310546875,-0.3727980852127075,0.22620010375976562
1687353384296434700,0.3674345703125,0.05934619903564453,-0.2986410856246948,-2.5795345306396484
1687353384316547300,0.38754736328125,2.0300769805908203,0.09792017936706543,-2.1838295459747314
1687353384336660200,0.40766015625,2.8427209854125977,0.16199737787246704,-0.015787363052368164
1687353384356772900,0.42777294921875,2.956331253051758,-0.3863633871078491,1.5234689712524414
1687353384376885500,0.447885498046875,2.084010124206543,-0.5372697114944458,1.1657240390777588
1687353384396998100,0.467998046875,0.6231403350830078,-0.19779041409492493,-0.6688568592071533
1687353384417110800,0.48811083984375,0.15472126007080078,-0.31589534878730774,-0.5298104286193848
1687353384437223400,0.508223388671875,1.3813791275024414,-0.16329282522201538,-0.9434934854507446
1687353384457336000,0.528336181640625,1.7137641906738281,-0.014357805252075195,-0.6174240112304688
1687353384477448700,0.54844873046875,0.9021940231323242,-0.11150586605072021,-0.24309420585632324
1687353384497561300,0.568561279296875,0.30384159088134766,-0.511028528213501,-0.5210075378417969
1687353384517674000,0.588674072265625,0.5848503112792969,-0.06753343343734741,-0.8422850370407104
1687353384537786600,0.60878662109375,0.9786806106567383,0.4913098216056824,0.6682865619659424
1687353384557899300,0.628899169921875,0.9198102951049805,-0.23842483758926392,0.38713836669921875
1687353384578012000,0.649011962890625,0.4566078186035156,-0.025459229946136475,-0.3631460666656494
1687353384598124500,0.66912451171875,0.025594711303710938,-0.1533331274986267,-0.267181396484375
1687353384618237200,0.6892373046875,0.07819652557373047,-0.09282279014587402,-0.12599968910217285
1687353384638349800,0.709349853515625,-0.21538543701171875,-0.01771068572998047,-0.046196937561035156
1687353384658462700,0.729462646484375,-0.0915079116821289,-0.12701809406280518,-0.13446426391601562
1687353384678575400,0.749575439453125,-0.5546722412109375,0.10724210739135742,0.13402462005615234
1687353384698688000,0.76968798828125,-0.15065383911132812,-0.156663179397583,0.16303277015686035
1687353384718800600,0.789800537109375,-0.02593231201171875,0.10324418544769287,-0.07267093658447266
1687353384738913300,0.809913330078125,-0.10503101348876953,0.07482492923736572,0.3338778018951416
1687353384759026000,0.83002587890625,-0.18724632263183594,0.1774907112121582,0.3115696907043457
1687353384779138600,0.850138671875,-0.34309864044189453,0.03620195388793945,0.08686089515686035
1687353384799251500,0.87025146484375,-0.3942584991455078,-0.18730008602142334,-0.10043621063232422
1687353384819364000,0.890364013671875,-0.3413524627685547,-0.13653647899627686,-0.006647825241088867
1687353384839476700,0.910476806640625,-0.17848491668701172,-0.027958035469055176,0.23259186744689941
1687353384859589600,0.930589599609375,0.1683502197265625,-0.10005366802215576,0.24073290824890137
1687353384879702300,0.950702392578125,0.5176610946655273,-0.12803268432617188,0.02284526824951172
1687353384899815200,0.970815185546875,0.4589405059814453,-0.11145055294036865,-0.022105693817138672
1687353384919927800,0.990927734375,0.24945735931396484,-0.047742486000061035,0.01849365234375
1687353384940040700,1.011040771484375,0.4152669906616211,0.00853109359741211,-0.024654865264892578
1687353384960153300,1.0311533203125,0.4679737091064453,-0.018523454666137695,-0.10281562805175781
1687353384980266200,1.051266357421875,0.38568973541259766,0.05523872375488281,-0.12029576301574707
1687353385000379000,1.07137890625,-0.09517669677734375,0.19420266151428223,-0.27125120162963867
1687353385020491800,1.09149169921875,0.3034210205078125,-0.08206057548522949,0.30535221099853516
1687353385040604400,1.1116044921875,0.8535747528076172,0.03511333465576172,0.33794641494750977
1687353385060717000,1.131717041015625,1.1539030075073242,-0.04090094566345215,0.23256969451904297
1687353385080830000,1.151829833984375,1.0820541381835938,-0.1621255874633789,-0.10358476638793945
1687353385100942600,1.171942626953125,0.7178421020507812,-0.28653621673583984,-0.39782190322875977
1687353385121055500,1.192055419921875,1.1428413391113281,-0.34729576110839844,-0.43776941299438477
1687353385141168000,1.212168212890625,0.8008222579956055,-0.2056105136871338,-1.1788530349731445
1687353385161281000,1.232281005859375,-2.404763698577881,-0.09453678131103516,-1.890134334564209
1687353385181393700,1.2523935546875,-9.852468490600586,1.2332463264465332,-3.328098773956299
1687353385201506600,1.272506591796875,-22.42022132873535,-0.8091583251953125,-5.347015380859375
1687353385221619200,1.292619140625,-19.89625358581543,-9.948700904846191,-11.950553894042969
1687353385241732000,1.312732177734375,4.873541831970215,-24.21207046508789,-29.440458297729492
1687353385261844700,1.3328447265625,48.2982177734375,-24.751632690429688,-39.75498580932617
1687353385281957600,1.35295751953125,65.18927764892578,-15.262321472167969,-10.498961448669434
1687353385302070300,1.3730703125,19.29318618774414,-14.391690254211426,-1.2197279930114746
1687353385322183200,1.39318310546875,-18.90536117553711,-9.760140419006348,-8.501445770263672
1687353385342295800,1.4132958984375,-18.445552825927734,-3.09619140625,10.330109596252441
1687353385362408700,1.43340869140625,-6.31821870803833,4.103762626647949,16.910280227661133
1687353385382521300,1.453521240234375,-4.60679817199707,2.779984712600708,7.171058654785156
1687353385402634000,1.473634033203125,-3.544036388397217,-0.791985273361206,-1.9649958610534668
